float_id,cycle_number,latitude,longitude,datetime,temp_min,temp_max,salinity_mean,summary_text
1900270,306,-14.59,44.616,2013-09-03 06:24:00.997974728,6.42,25.58,34.46507843137255,"ARGO float 1900270 on cycle 306 reported data on 2013-09-03 at location 14.6°S, 44.6°E. The profile measured temperatures from 6.4°C to 25.6°C and salinities around 34.5 PSU."
1900270,307,-14.86,44.384,2013-09-13 18:35:16.999618542,6.423,26.122,34.46311764705882,"ARGO float 1900270 on cycle 307 reported data on 2013-09-13 at location 14.9°S, 44.4°E. The profile measured temperatures from 6.4°C to 26.1°C and salinities around 34.5 PSU."
1900270,308,-14.843,43.818,2013-09-24 06:32:27.999853440,6.448,26.119,35.1506862745098,"ARGO float 1900270 on cycle 308 reported data on 2013-09-24 at location 14.8°S, 43.8°E. The profile measured temperatures from 6.4°C to 26.1°C and salinities around 35.2 PSU."
1900272,306,-1.79,46.125,2013-09-04 03:00:55.000589639,6.935,26.091,35.21650980392157,"ARGO float 1900272 on cycle 306 reported data on 2013-09-04 at location 1.8°S, 46.1°E. The profile measured temperatures from 6.9°C to 26.1°C and salinities around 35.2 PSU."
1900272,307,-1.314,46.548,2013-09-14 15:09:53.001933085,7.709,26.885,35.21158,"ARGO float 1900272 on cycle 307 reported data on 2013-09-14 at location 1.3°S, 46.5°E. The profile measured temperatures from 7.7°C to 26.9°C and salinities around 35.2 PSU."
1900272,308,0.846,47.344,2013-09-25 02:58:38.999714836,7.203,27.152,34.52290196078431,"ARGO float 1900272 on cycle 308 reported data on 2013-09-25 at location 0.8°N, 47.3°E. The profile measured temperatures from 7.2°C to 27.2°C and salinities around 34.5 PSU."
1900354,292,-12.366,43.99,2013-09-04 21:41:01.997790633,6.481,25.337,35.07539215686275,"ARGO float 1900354 on cycle 292 reported data on 2013-09-04 at location 12.4°S, 44.0°E. The profile measured temperatures from 6.5°C to 25.3°C and salinities around 35.1 PSU."
1900354,293,-12.26,43.986,2013-09-15 13:17:57.001188540,6.448,26.31,35.10768,"ARGO float 1900354 on cycle 293 reported data on 2013-09-15 at location 12.3°S, 44.0°E. The profile measured temperatures from 6.4°C to 26.3°C and salinities around 35.1 PSU."
1900354,294,-12.409,44.499,2013-09-26 05:47:27.000784224,6.31,25.424,35.06741176470589,"ARGO float 1900354 on cycle 294 reported data on 2013-09-26 at location 12.4°S, 44.5°E. The profile measured temperatures from 6.3°C to 25.4°C and salinities around 35.1 PSU."
1900355,292,-5.945,74.27,2013-09-05 06:36:07.002002733,5.861,27.87,34.21862745098039,"ARGO float 1900355 on cycle 292 reported data on 2013-09-05 at location 5.9°S, 74.3°E. The profile measured temperatures from 5.9°C to 27.9°C and salinities around 34.2 PSU."
1900355,293,-5.767,73.703,2013-09-15 18:37:45.000909171,5.877,28.343,34.94480392156863,"ARGO float 1900355 on cycle 293 reported data on 2013-09-15 at location 5.8°S, 73.7°E. The profile measured temperatures from 5.9°C to 28.3°C and salinities around 34.9 PSU."
1900355,294,-5.592,73.878,2013-09-26 06:32:02.999952899,6.036,28.076,34.306705882352944,"ARGO float 1900355 on cycle 294 reported data on 2013-09-26 at location 5.6°S, 73.9°E. The profile measured temperatures from 6.0°C to 28.1°C and salinities around 34.3 PSU."
1900357,292,-13.429,51.836,2013-09-06 04:20:17.999974901,5.176,24.932,35.091470588235296,"ARGO float 1900357 on cycle 292 reported data on 2013-09-06 at location 13.4°S, 51.8°E. The profile measured temperatures from 5.2°C to 24.9°C and salinities around 35.1 PSU."
1900357,293,-13.78,52.768,2013-09-16 13:06:47.001683511,5.45,24.994,35.07832,"ARGO float 1900357 on cycle 293 reported data on 2013-09-16 at location 13.8°S, 52.8°E. The profile measured temperatures from 5.5°C to 25.0°C and salinities around 35.1 PSU."
1900357,294,-14.641,52.515,2013-09-27 04:19:37.999876920,5.544,25.296,34.53570588235294,"ARGO float 1900357 on cycle 294 reported data on 2013-09-27 at location 14.6°S, 52.5°E. The profile measured temperatures from 5.5°C to 25.3°C and salinities around 34.5 PSU."
1900410,248,-42.094,96.151,2013-09-02 02:30:09.000057530,5.731,11.166,34.8086862745098,"ARGO float 1900410 on cycle 248 reported data on 2013-09-02 at location 42.1°S, 96.2°E. The profile measured temperatures from 5.7°C to 11.2°C and salinities around 34.8 PSU."
1900410,249,-42.004,96.063,2013-09-12 09:27:08.998084679,2.605,11.011,34.71151428571429,"ARGO float 1900410 on cycle 249 reported data on 2013-09-12 at location 42.0°S, 96.1°E. The profile measured temperatures from 2.6°C to 11.0°C and salinities around 34.7 PSU."
