platform_number,float_serial_no,project_name,pi_name,platform_type,direction,data_centre,cycle_number
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901300 ',b'5590                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',192.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',193.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901300 ',b'5590                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',192.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',193.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
